Metric,Assay,Description,Scale,Calculation
Circadian gravitactic index (7),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",7 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Temporal Phototaxis circling,Temporal Phototaxis,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Temporal Phototaxis occupancy,Temporal Phototaxis,Fraction of time spent in the light,"0 to 1 (Dark = 0, Light = 1)",time_in_light / experiment_duration
Temporal Phototaxis nTrials,Temporal Phototaxis,Total number of trials initiated by crossing virtual border,0 to inf,sum[ trials ]
Temporal Phototaxis speed,Temporal Phototaxis,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Temporal Phototaxis light clumpiness,Temporal Phototaxis,Score of the regularity or irregularity of timingbetween  trials initiated by crossing virtual border,0 to inf,stddev[ intertrial_interval ] * num_trials / experiment_duration
Temporal Phototaxis nBouts,Temporal Phototaxis,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Temporal Phototaxis bout length,Temporal Phototaxis,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Temporal Phototaxis bout clumpiness,Temporal Phototaxis,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian gravitactic index (8),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",2 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Circadian gravitactic index (9),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",3 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Circadian gravitactic index (10),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",4 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
